学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次,开设专业
淮北师范大学,普通本科,584.00,--,564.00,79493,588,平行录取一段,师范 学前教育 特殊教育 教育技术学
淮北师范大学,普通本科,--,--,564.00,79493,490,平行录取二段,师范 学前教育 特殊教育 教育技术学
南昌师范学院,普通本科,--,--,--,--,--,--,师范 学前教育 科学教育 小学教育
湖北第二师范学院,普通本科,580.00,572.00,563.00,80624,490,平行录取二段,师范 教育学 学前教育 科学教育 教育技术学 小学教育
淮南师范学院,普通本科,--,--,554.00,90427,490,平行录取二段,师范 学前教育
陕西师范大学,普通本科,635.00,634.50,627.00,18652,588,平行录取一段,师范 教育学 学前教育 特殊教育 教育技术学
浙江师范大学行知学院,独立学院,--,--,525.00,121412,490,平行录取二段,师范
宁夏幼儿师范高等专科学校,其他,--,--,--,--,--,--,师范
杭州师范大学钱江学院,独立学院,--,--,540.00,105639,490,平行录取二段,师范
杭州师范大学钱江学院,独立学院,--,--,560.00,83957,344,平行录取三段,师范
湖州师范学院求真学院,独立学院,--,--,517.00,129871,490,平行录取二段,师范
湖州师范学院求真学院,独立学院,--,--,558.00,86164,344,平行录取三段,师范
云南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段,师范 教育学 学前教育 艺术教育 特殊教育 华文教育 教育技术学
云南师范大学,普通本科,605.00,--,562.00,81741,490,平行录取二段,师范 教育学 学前教育 艺术教育 特殊教育 华文教育 教育技术学
安阳幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
玉溪师范学院,普通本科,565.00,--,546.00,99147,490,平行录取二段,师范 学前教育 教育技术学 小学教育
楚雄师范学院,普通本科,--,--,544.00,101293,490,平行录取二段,师范 学前教育 科学教育 教育技术学 小学教育
福建师范大学协和学院,独立学院,--,527.00,519.00,127789,490,平行录取二段,师范 学前教育
安徽师范大学皖江学院,独立学院,--,--,534.00,111905,490,平行录取二段,师范 学前教育 教育技术学
豫章师范学院,普通本科,--,--,549.00,95883,490,平行录取二段,师范 学前教育 艺术教育 科学教育 特殊教育 教育技术学 小学教育
豫章师范学院,普通本科,--,--,438.00,198276,344,平行录取三段,师范 学前教育 艺术教育 科学教育 特殊教育 教育技术学 小学教育
川北幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
