学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
福建师范大学协和学院,独立学院,--,527.00,519.00,127789,490,平行录取二段
安徽师范大学皖江学院,独立学院,--,--,534.00,111905,490,平行录取二段
豫章师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
豫章师范学院,普通本科,--,--,438.00,198276,344,平行录取三段
川北幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
淮北师范大学信息学院,独立学院,--,--,--,--,--,--
信阳师范学院,普通本科,553.00,--,552.00,92541,490,平行录取二段
安阳师范学院,普通本科,606.00,561.00,553.00,91440,588,平行录取一段
安阳师范学院,普通本科,--,--,553.00,91440,490,平行录取二段
咸阳师范学院,普通本科,563.00,556.50,550.00,94794,490,平行录取二段
渭南师范学院,普通本科,559.00,550.00,541.00,104530,490,平行录取二段
阜阳师范学院信息工程学院,独立学院,--,--,531.00,115060,490,平行录取二段
青海师范大学,普通本科,--,--,--,--,--,--
江西师范大学科学技术学院,独立学院,560.00,545.00,530.00,116093,490,平行录取二段
拉萨师范高等专科学校,专科（高职）,--,--,--,--,--,--
河北师范大学汇华学院,独立学院,--,--,--,--,--,--
焦作师范高等专科学校,专科（高职）,--,--,490.00,156885,490,平行录取二段
焦作师范高等专科学校,专科（高职）,494.00,490.00,480.00,166027,344,平行录取三段
长春师范大学,普通本科,--,--,550.00,94794,490,平行录取二段
赣南师范大学科技学院,独立学院,--,--,--,--,--,--
吉林师范大学,普通本科,579.00,--,558.00,86164,588,平行录取一段
吉林师范大学,普通本科,565.00,--,556.00,88305,490,平行录取二段
江西科技师范大学理工学院,独立学院,--,--,541.00,104530,490,平行录取二段
泉州幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
济南幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
吉林工程技术师范学院,普通本科,550.00,--,548.00,96962,490,平行录取二段
衡阳师范学院,普通本科,567.00,549.00,536.00,109773,490,平行录取二段
首都师范大学科德学院高教自考,其他,--,--,--,--,--,--
通化师范学院,普通本科,--,--,547.00,98072,490,平行录取二段
白城师范学院,普通本科,--,--,516.00,130919,490,平行录取二段
福建幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
湖南第一师范学院,普通本科,581.00,569.00,558.00,86164,490,平行录取二段
南京师范大学泰州学院,独立学院,--,--,530.00,116093,490,平行录取二段
湖南师范大学树达学院,独立学院,--,--,--,--,--,--
华中师范大学,普通本科,653.00,644.17,638.00,12067,588,平行录取一段
衡阳师范学院南岳学院,独立学院,--,--,--,--,--,--
湖北师范大学文理学院,独立学院,--,--,--,--,--,--
湖北师范大学,普通本科,602.00,595.00,588.00,53141,588,平行录取一段
湖北师范大学,普通本科,--,--,569.00,73990,490,平行录取二段
黄冈师范学院,普通本科,--,--,--,--,--,--
牡丹江师范学院,普通本科,543.00,--,542.00,103416,490,平行录取二段
四川幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
重庆师范大学涉外商贸学院,普通本科,557.00,--,503.00,144191,490,平行录取二段
重庆师范大学涉外商贸学院,普通本科,--,--,557.00,87261,344,平行录取三段
广东技术师范大学,普通本科,--,--,--,--,--,--
长沙师范学院,普通本科,--,--,--,--,--,--
重庆第二师范学院,普通本科,--,--,--,--,--,--
福建师范大学,普通本科,624.00,604.00,591.00,49957,588,平行录取一段
福建师范大学,普通本科,--,--,574.00,68468,490,平行录取二段
泉州师范学院,普通本科,--,--,535.00,110842,490,平行录取二段
闽南师范大学,普通本科,--,--,591.00,49957,588,平行录取一段
闽南师范大学,普通本科,592.00,578.00,570.00,72877,490,平行录取二段
郑州幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
洛阳师范学院,普通本科,574.00,--,550.00,94794,490,平行录取二段
周口师范学院,普通本科,564.00,--,548.00,96962,490,平行录取二段
南阳师范学院,普通本科,--,--,550.00,94794,490,平行录取二段
商丘师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
新疆师范高等专科学校,专科（高职）,--,--,--,--,--,--
哈尔滨幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
西北师范大学,普通本科,596.00,575.00,561.00,82841,588,平行录取一段
西北师范大学,普通本科,--,--,561.00,82841,490,平行录取二段
琼台师范学院,普通本科,567.00,--,558.00,86164,490,平行录取二段
琼台师范学院,普通本科,549.00,--,491.00,155917,344,平行录取三段
南京师范大学中北学院,独立学院,--,--,551.00,93653,490,平行录取二段
大庆师范学院,普通本科,549.00,--,547.00,98072,588,平行录取一段
大庆师范学院,普通本科,--,--,546.00,99147,490,平行录取二段
重庆幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--
江苏师范大学科文学院,独立学院,--,--,528.00,118144,490,平行录取二段
河南师范大学新联学院,独立学院,--,--,--,--,--,--
曲阜师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
曲阜师范大学,普通本科,--,--,554.00,90427,490,平行录取二段
阜阳师范学院,普通本科,--,--,559.00,85053,490,平行录取二段
