学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
福建师范大学,普通本科,--,--,574.00,68468,490,平行录取二段
文山学院,普通本科,560.00,--,547.00,98072,490,平行录取二段
泉州师范学院,普通本科,--,--,535.00,110842,490,平行录取二段
闽南师范大学,普通本科,--,--,591.00,49957,588,平行录取一段
闽南师范大学,普通本科,592.00,578.00,570.00,72877,490,平行录取二段
西北民族大学,普通本科,570.00,559.00,548.00,96962,490,平行录取二段
南阳师范学院,普通本科,--,--,550.00,94794,490,平行录取二段
聊城大学,普通本科,--,--,563.00,80624,490,平行录取二段
西北师范大学,普通本科,596.00,575.00,561.00,82841,588,平行录取一段
西北师范大学,普通本科,--,--,561.00,82841,490,平行录取二段
临沂大学,普通本科,--,--,556.00,88305,490,平行录取二段
青岛大学,普通本科,--,--,588.00,53141,588,平行录取一段
青岛大学,普通本科,--,--,583.00,58692,490,平行录取二段
河西学院,普通本科,--,--,--,--,--,--
内蒙古民族大学,普通本科,--,--,544.00,101293,490,平行录取二段
曲阜师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
曲阜师范大学,普通本科,--,--,554.00,90427,490,平行录取二段
海南师范大学,普通本科,--,--,588.00,53141,588,平行录取一段
海南师范大学,普通本科,595.00,580.00,570.00,72877,490,平行录取二段
